,CityState,University,Uni CityState,Distance,Closest,City,City Lat,City Lng,Distance_Text,State,Time,Time_Text,Uni Lat,Uni Lng,Population,White Population,Black Population,Native American Population,Asian Population,Hispanic Population,Education None,Education High School,Education GED,Education Associates,Education Bachelors,Education Masters,Education Professional,Education Doctorate,Poverty,Employment Labor Force,Employment Unemployed,Employment Male Computer Engineering,Employment Female Computer Engineering,Median Age,Median Male Age,Median Female Age,Household Income,Income Per Capita,Median Gross Rent,Median Home Value,Impressions,CPC,CTR,Cost
6307,"DALEVILLE, AL",GTECH,"ATLANTA, GA",190.314778492286,1,DALEVILLE,31.257605,-85.735807,224 mi,AL,13560.0,3 hours 46 mins,33.7756178,-84.396285,8519.0,6059.0,1643.0,100.0,217.0,642.0,46.0,1392.0,430.0,808.0,536.0,203.0,10.0,20.0,1730.0,4117.0,413.0,30.0,24.0,37.4,38.0,35.8,47844.0,22011.0,626.0,99000.0,,,,
6315,"DALLAS, GA",GTECH,"ATLANTA, GA",29.1746205929893,1,DALLAS,33.93677,-84.8654475,37.7 mi,GA,4376.0,1 hour 13 mins,33.7756178,-84.396285,84751.0,67140.0,13792.0,238.0,509.0,5539.0,496.0,15918.0,3355.0,3945.0,7860.0,3158.0,1059.0,232.0,10875.0,44478.0,3723.0,1363.0,440.0,34.7,33.3,35.6,60887.0,24704.0,985.5,138950.0,14.56,17.75,0.03,7.64
6328,"DALTON, GA",GTECH,"ATLANTA, GA",75.1610075641848,1,DALTON,34.76114,-84.958453,87.2 mi,GA,6372.0,1 hour 46 mins,33.7756178,-84.396285,81680.0,71250.0,3634.0,258.0,1396.0,32343.0,1699.0,10981.0,3000.0,2235.0,4155.0,1688.0,714.0,127.0,16317.0,40134.0,4371.0,498.0,100.0,33.7,32.25,35.25,39847.0,19987.0,667.5,125350.0,7.73,10.28,0.035,2.68
6343,"DAMASCUS, GA",GTECH,"ATLANTA, GA",171.908885611761,1,DAMASCUS,31.292866,-84.685044,202 mi,GA,11608.0,3 hours 13 mins,33.7756178,-84.396285,668.0,271.0,397.0,0.0,0.0,4.0,7.0,199.0,17.0,14.0,53.0,22.0,6.0,0.0,206.0,195.0,12.0,4.0,0.0,47.6,43.8,50.9,21033.0,14385.0,673.0,74100.0,,,,
6376,"DANIELSVILLE, GA",GTECH,"ATLANTA, GA",71.5449416943709,1,DANIELSVILLE,34.180903,-83.249172,83.1 mi,GA,6303.0,1 hour 45 mins,33.7756178,-84.396285,8792.0,8374.0,198.0,26.0,86.0,94.0,132.0,1887.0,476.0,380.0,360.0,355.0,113.0,26.0,1462.0,4207.0,453.0,61.0,27.0,39.6,38.8,40.1,43173.0,19470.0,721.0,121300.0,0.68,28.77,0.039,0.75
6392,"DANVILLE, GA",GTECH,"ATLANTA, GA",104.301546153614,1,DANVILLE,32.621094,-83.23222,118 mi,GA,6990.0,1 hour 57 mins,33.7756178,-84.396285,1700.0,1385.0,312.0,3.0,0.0,5.0,0.0,437.0,117.0,16.0,48.0,37.0,0.0,13.0,177.0,699.0,18.0,26.0,0.0,47.6,50.1,45.5,41146.0,20028.0,539.0,69500.0,,,,
6407,"DAPHNE, AL",GTECH,"ATLANTA, GA",297.828281050575,1,DAPHNE,30.611152,-87.859918,,AL,,,33.7756178,-84.396285,31420.0,25774.0,4683.0,0.0,471.0,1262.0,110.0,3790.0,533.0,1781.0,6147.0,1623.0,521.0,316.0,3040.0,17252.0,908.0,837.0,215.0,36.3,35.8,36.9,63312.0,29573.0,1002.0,179000.0,1.15,10.65,0.038,0.46
6415,"DARIEN, GA",GTECH,"SAVANNAH, GA",50.382438188514,1,DARIEN,31.396816,-81.393957,63.8 mi,GA,3791.0,1 hour 3 mins,32.0835,-81.0998,7509.0,4439.0,2734.0,25.0,29.0,184.0,67.0,1477.0,694.0,386.0,301.0,144.0,15.0,5.0,2270.0,3384.0,345.0,14.0,23.0,42.2,36.9,44.2,40272.0,21781.0,598.0,112400.0,0.45,4.16,0.055,0.1
6438,"DAUFUSKIE ISLAND, SC",GTECH,"SAVANNAH, GA",14.5420348221358,1,DAUFUSKIE ISLAND,32.122105,-80.856036,,SC,,,32.0835,-81.0998,599.0,591.0,0.0,8.0,0.0,0.0,0.0,33.0,16.0,10.0,122.0,68.0,19.0,10.0,223.0,203.0,45.0,0.0,0.0,39.1,28.6,62.8,85583.0,57073.0,,395600.0,,,,
6439,"DAUPHIN ISLAND, AL",GTECH,"ATLANTA, GA",332.091122399663,1,DAUPHIN ISLAND,30.2355,-88.236219,,AL,,,33.7756178,-84.396285,1319.0,1252.0,9.0,14.0,4.0,37.0,11.0,240.0,31.0,73.0,217.0,87.0,11.0,29.0,46.0,595.0,36.0,43.0,20.0,50.7,52.9,49.3,63594.0,34281.0,1082.0,197900.0,0.23,7.1,0.04,0.07
6469,"DAVISBORO, GA",GTECH,"SAVANNAH, GA",108.373742815724,1,DAVISBORO,32.977092,-82.627586,132 mi,GA,7775.0,2 hours 10 mins,32.0835,-81.0998,2527.0,1106.0,1375.0,0.0,9.0,64.0,18.0,568.0,411.0,68.0,150.0,33.0,0.0,0.0,222.0,499.0,52.0,8.0,11.0,40.5,38.4,52.1,40477.0,10386.0,569.0,75300.0,,,,
6472,"DAVISTON, AL",GTECH,"ATLANTA, GA",90.8080416519495,1,DAVISTON,33.046308,-85.704818,108 mi,AL,8415.0,2 hours 20 mins,33.7756178,-84.396285,1900.0,1611.0,267.0,0.0,0.0,32.0,43.0,484.0,71.0,81.0,126.0,56.0,6.0,2.0,308.0,932.0,79.0,2.0,9.0,42.6,41.0,43.6,45370.0,21070.0,522.0,91400.0,,,,
6480,"DAWSON, AL",GTECH,"ATLANTA, GA",96.6019973209758,1,DAWSON,34.359787,-85.9272,127 mi,AL,9089.0,2 hours 31 mins,33.7756178,-84.396285,1852.0,1827.0,0.0,25.0,0.0,0.0,0.0,386.0,30.0,100.0,82.0,70.0,26.0,0.0,278.0,647.0,0.0,49.0,0.0,51.1,49.8,52.1,26373.0,15207.0,410.0,113100.0,,,,
6481,"DAWSON, GA",GTECH,"ATLANTA, GA",138.852152508443,1,DAWSON,31.760949,-84.437475,171 mi,GA,9538.0,2 hours 39 mins,33.7756178,-84.396285,8256.0,2854.0,5284.0,0.0,43.0,204.0,117.0,1496.0,250.0,428.0,316.0,135.0,60.0,29.0,2999.0,3405.0,491.0,29.0,20.0,39.7,37.2,41.5,27857.0,16028.0,589.0,84100.0,,,,
6490,"DAWSONVILLE, GA",GTECH,"ATLANTA, GA",47.4325124626517,1,DAWSONVILLE,34.4311,-84.144329,72.6 mi,GA,6081.0,1 hour 41 mins,33.7756178,-84.396285,28773.0,27425.0,126.0,99.0,290.0,1180.0,355.0,3921.0,1600.0,1384.0,3707.0,1208.0,225.0,65.0,4298.0,13611.0,1428.0,439.0,165.0,40.5,40.0,40.9,56721.0,27478.0,965.0,183200.0,4.09,13.85,0.042,2.32
6538,"DE SOTO, GA",GTECH,"ATLANTA, GA",130.812409512928,1,DE SOTO,31.908396,-83.991153,158 mi,GA,9136.0,2 hours 32 mins,33.7756178,-84.396285,496.0,105.0,358.0,0.0,0.0,51.0,5.0,125.0,7.0,14.0,12.0,13.0,0.0,0.0,138.0,166.0,0.0,0.0,0.0,33.3,48.0,26.9,32212.0,12697.0,796.0,83100.0,,,,
6562,"DEARING, GA",GTECH,"ATLANTA, GA",118.728542379244,1,DEARING,33.384114,-82.391923,131 mi,GA,7608.0,2 hours 7 mins,33.7756178,-84.396285,3939.0,2933.0,820.0,0.0,2.0,247.0,31.0,1042.0,172.0,231.0,151.0,62.0,0.0,3.0,817.0,1793.0,124.0,50.0,11.0,43.2,43.0,44.3,43423.0,23536.0,580.0,96500.0,0.23,1.15,0.081,0.02
6566,"DEATSVILLE, AL",GTECH,"ATLANTA, GA",140.907694993355,1,DEATSVILLE,32.623499,-86.405578,188 mi,AL,10228.0,2 hours 50 mins,33.7756178,-84.396285,11709.0,10973.0,517.0,39.0,25.0,105.0,18.0,2317.0,566.0,690.0,950.0,337.0,14.0,3.0,979.0,5716.0,306.0,192.0,82.0,39.3,39.5,39.0,55951.0,26558.0,723.0,168800.0,,,,
6572,"DECATUR, GA",GTECH,"ATLANTA, GA",8.17681788759162,1,DECATUR,33.7479182,-84.2581658,15.7 mi,GA,1889.0,31 mins,33.7756178,-84.396285,172161.0,48236.0,110658.0,188.0,6595.0,5677.0,1322.0,24563.0,4098.0,7207.0,23053.0,11717.0,3561.0,3371.0,35460.0,88222.0,11598.0,3146.0,2418.0,36.02,34.32,37.74,51224.0,27628.0,949.8,169880.0,41.85,25.3,0.035,36.53
6611,"DEER PARK, AL",GTECH,"ATLANTA, GA",282.341074679252,1,DEER PARK,31.275361,-88.228787,,AL,,,33.7756178,-84.396285,223.0,210.0,1.0,11.0,0.0,1.0,0.0,34.0,44.0,16.0,18.0,0.0,8.0,0.0,32.0,76.0,1.0,0.0,0.0,46.0,55.5,28.8,33750.0,22030.0,,77000.0,,,,
6709,"DELTA, AL",GTECH,"ATLANTA, GA",78.8832063284992,1,DELTA,33.477734,-85.717338,89.9 mi,AL,5686.0,1 hour 35 mins,33.7756178,-84.396285,1378.0,1302.0,13.0,0.0,0.0,56.0,0.0,247.0,73.0,37.0,27.0,48.0,14.0,15.0,295.0,581.0,35.0,0.0,0.0,51.9,57.0,51.5,42462.0,28381.0,483.0,114600.0,,,,
6725,"DEMOPOLIS, AL",GTECH,"ATLANTA, GA",224.129227273714,1,DEMOPOLIS,32.429314,-87.914179,,AL,,,33.7756178,-84.396285,8292.0,3525.0,4500.0,0.0,27.0,294.0,64.0,1932.0,134.0,313.0,662.0,313.0,66.0,25.0,2465.0,3131.0,366.0,55.0,29.0,37.6,41.9,36.8,29813.0,22263.0,480.0,128600.0,,,,
6726,"DEMOREST, GA",GTECH,"ATLANTA, GA",72.390553591185,1,DEMOREST,34.573655,-83.574769,78.9 mi,GA,5953.0,1 hour 39 mins,33.7756178,-84.396285,7388.0,6745.0,113.0,16.0,288.0,384.0,61.0,1675.0,307.0,247.0,442.0,258.0,39.0,43.0,908.0,3595.0,283.0,62.0,67.0,35.2,33.7,38.6,48482.0,18352.0,717.0,138400.0,0.45,5.73,0.074,0.19
6741,"DENMARK, SC",GTECH,"SAVANNAH, GA",83.738191219745,1,DENMARK,33.297671,-81.158698,91.4 mi,SC,6593.0,1 hour 50 mins,32.0835,-81.0998,5358.0,759.0,4522.0,0.0,23.0,2.0,87.0,707.0,0.0,415.0,439.0,76.0,14.0,0.0,1963.0,1920.0,345.0,66.0,19.0,35.6,30.1,39.8,21026.0,17110.0,447.0,61200.0,0.23,3.17,0.03,0.02
6757,"DENTON, GA",GTECH,"SAVANNAH, GA",100.64100370117,1,DENTON,31.72207,-82.758822,119 mi,GA,8361.0,2 hours 19 mins,32.0835,-81.0998,911.0,819.0,92.0,0.0,0.0,19.0,8.0,232.0,84.0,26.0,2.0,15.0,16.0,0.0,252.0,328.0,13.0,0.0,0.0,34.3,34.2,35.4,33224.0,14842.0,292.0,64500.0,,,,
6849,"DEWY ROSE, GA",GTECH,"ATLANTA, GA",88.1850237519972,1,DEWY ROSE,34.195694,-82.945483,104 mi,GA,7316.0,2 hours 2 mins,33.7756178,-84.396285,1652.0,1306.0,213.0,0.0,29.0,175.0,66.0,511.0,58.0,34.0,87.0,51.0,0.0,0.0,219.0,793.0,40.0,0.0,0.0,48.3,49.7,45.8,43177.0,22466.0,550.0,82200.0,,,,
6851,"DEXTER, GA",GTECH,"SAVANNAH, GA",116.653823325127,1,DEXTER,32.424244,-83.051342,126 mi,GA,6627.0,1 hour 50 mins,32.0835,-81.0998,2288.0,1974.0,297.0,0.0,6.0,11.0,3.0,591.0,108.0,63.0,136.0,52.0,56.0,5.0,564.0,766.0,44.0,31.0,6.0,38.5,38.1,39.5,35469.0,17370.0,594.0,90400.0,0.23,38.22,0.039,0.33
6885,"DICKINSON, AL",GTECH,"ATLANTA, GA",233.802274383486,1,DICKINSON,31.785367,-87.649528,,AL,,,33.7756178,-84.396285,497.0,409.0,88.0,0.0,0.0,0.0,0.0,161.0,38.0,5.0,44.0,0.0,0.0,0.0,20.0,316.0,27.0,0.0,0.0,49.6,44.6,58.4,37029.0,33143.0,,59500.0,,,,
6900,"DILLARD, GA",GTECH,"ATLANTA, GA",103.097990998679,1,DILLARD,34.976125,-83.320199,119 mi,GA,8331.0,2 hours 19 mins,33.7756178,-84.396285,1585.0,1421.0,0.0,0.0,33.0,310.0,9.0,284.0,64.0,143.0,332.0,117.0,13.0,7.0,347.0,640.0,29.0,32.0,0.0,48.1,48.3,45.9,37250.0,29832.0,545.0,217300.0,0.68,12.46,0.03,0.25
6911,"DILLSBORO, NC",GTECH,"ATLANTA, GA",127.5180927602,1,DILLSBORO,35.366645,-83.255082,146 mi,NC,9462.0,2 hours 38 mins,33.7756178,-84.396285,32.0,32.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,16.0,7.0,0.0,0.0,13.0,32.0,8.0,0.0,0.0,45.8,45.3,,,36109.0,,,,,,
